matrix	nr_rows	nr_cols	nr_nzeros	density	nnz-r-min	nnz-r-max	nnz-r-avg	nnz-r-std	nnz-c-min	nnz-c-max	nnz-c-avg	nnz-c-std	skew_coeff	bw-min	bw-max	bw-avg	bw-std	bw-scaled-min	bw-scaled-max	bw-scaled-avg	bw-scaled-std	sc-min	sc-max	sc-avg	sc-std	sc-scaled-min	sc-scaled-max	sc-scaled-avg	sc-scaled-std	nr_groups-r-min	nr_groups-r-max	nr_groups-r-avg	nr_groups-r-std	num-neigh-avg	cross_row_sim-avg	mem_footprint
rgg_n_2_17_s0	131072	131072	1457506	8.5e-05	0.0	28.0	11.119888	3.34422	0.0	28.0	11.119888	3.34422	1.518011	0.0	66372.0	973.47094	5529.884743	0.0	0.506378	0.007427	0.04219	0.0	1.0	0.022296	0.00773	0.0	131072.0	2922.347383	1013.183949	0.0	28.0	10.931114	3.261376	0.033953	0.051741	17.17983627319336
appu	14000	14000	1853104	0.009455	12.0	294.0	132.364571	36.494459	12.0	294.0	132.364571	36.494459	1.221138	11477.0	13998.0	13769.606286	180.596267	0.819786	0.999857	0.983543	0.0129	0.000953	0.021263	0.009602	0.00261	13.344984	297.678455	134.421287	36.540429	12.0	290.0	131.027	35.806617	0.02021	0.036817	21.260501861572266
thermomech_dK	204316	204316	2846228	6.8e-05	7.0	20.0	13.930519	1.430513	7.0	20.0	13.930519	1.430513	0.435697	959.0	204277.0	90840.915753	44775.249221	0.004694	0.999809	0.44461	0.219147	3.5e-05	0.014599	0.000263	0.000345	7.122676	2982.715328	53.701366	70.532164	2.0	10.0	6.898285	0.857047	1.009616	0.543671	33.35190200805664
ASIC_680k	682862	682862	3871773	8e-06	1.0	395259.0	5.66992	659.807358	1.0	395259.0	5.66992	659.807358	69710.563994	0.0	682787.0	255842.58824	156150.118617	0.0	0.99989	0.374662	0.22867	0.0	0.612045	3.3e-05	0.000997	0.0	417941.984076	22.403804	680.488528	1.0	4648.0	3.77331	6.112658	0.669008	0.825474	46.913841247558594
roadNet-TX	1393383	1393383	3843320	2e-06	0.0	12.0	2.758265	1.037025	0.0	12.0	2.758265	1.037025	3.35056	0.0	1343644.0	6889.942324	60155.564509	0.0	0.964303	0.004945	0.043172	0.0	2.0	0.116924	0.258686	0.0	2786766.0	162920.397221	360448.115557	0.0	10.0	2.53522	0.99362	0.161729	0.300952	49.29864501953125
com-Youtube	1134890	1134890	5975248	5e-06	1.0	28754.0	5.265046	50.754343	1.0	28754.0	5.265046	50.754343	5460.300863	0.0	1134782.0	221189.646579	319090.504518	0.0	0.999905	0.1949	0.281164	0.0	2.0	0.003677	0.0693	0.0	2269780.0	4172.523146	78647.801106	1.0	19666.0	4.522487	32.470433	0.282071	0.439166	72.71055221557617
rajat30	643994	643994	6175377	1.5e-05	1.0	454746.0	9.589184	784.579857	1.0	454746.0	9.589184	784.573376	47421.804393	0.0	643985.0	242190.259117	172695.679974	0.0	0.999986	0.376075	0.268163	0.0	2.0	0.012653	0.123789	0.0	1287988.0	8148.677553	79719.139028	1.0	64809.0	5.797121	123.440077	0.790904	0.658327	73.12822723388672
radiation	223104	223104	7637688	0.000153	4.0	3498.0	34.233756	15.156711	4.0	3498.0	34.233756	15.156711	101.179847	224.0	222550.0	133095.176268	32501.337005	0.001004	0.997517	0.596561	0.145678	2.4e-05	0.035714	0.000389	0.001143	5.313999	7968.0	86.810391	255.093944	3.0	1104.0	33.779623	11.30568	0.026531	0.135845	88.25748062133789
Stanford_Berkeley	683446	683446	7583376	1.6e-05	0.0	83448.0	11.095794	284.832088	0.0	249.0	11.095794	16.370643	7519.687595	0.0	678132.0	4865.148402	31025.200807	0.0	0.992225	0.007119	0.045395	0.0	2.0	0.251454	0.445742	0.0	1366892.0	171854.925571	304640.579875	0.0	8378.0	3.735931	18.1587	1.326604	0.652664	89.39199447631836
CurlCurl_2	806529	806529	8921789	1.4e-05	4.0	13.0	11.061957	0.921613	4.0	13.0	11.061957	0.921613	0.175199	4.0	23922.0	22564.850141	4469.547141	5e-06	0.02966	0.027978	0.005542	0.000256	1.0	0.001258	0.01095	206.387768	806529.0	1014.467396	8831.446956	2.0	8.0	7.104422	0.858272	0.715522	0.524131	105.17844009399414
gupta3	16783	16783	9323427	0.033101	33.0	14672.0	555.528034	1233.520259	33.0	14672.0	555.528034	1233.520259	25.410908	1359.0	16782.0	9597.215992	4640.821147	0.080975	0.99994	0.571842	0.276519	0.00423	0.876202	0.064304	0.086221	70.989788	14705.29567	1079.222192	1447.051906	4.0	417.0	27.315677	57.601869	1.901659	0.976749	106.76218032836914
kron_g500-logn18	262144	262144	21165908	0.000308	0.0	49163.0	80.741531	453.732304	0.0	49163.0	80.741531	453.732304	607.893579	0.0	262141.0	144664.482502	109471.062906	0.0	0.999989	0.551851	0.417599	0.0	0.5	0.000327	0.002176	0.0	131072.0	85.842515	570.444444	0.0	40025.0	79.939537	434.053903	0.019866	0.020173	243.2245979309082
human_gene1	22283	22283	24669643	0.049684	1.0	7939.0	1107.106	1409.121606	1.0	7939.0	1107.106	1409.121606	6.170948	0.0	22257.0	20756.094512	4176.871467	0.0	0.998833	0.931477	0.187447	0.0	2.0	0.056975	0.127993	0.0	44566.0	1269.577847	2852.067708	1.0	3756.0	840.135978	903.314267	0.482284	0.282063	282.40666580200195
delaunay_n22	4194304	4194304	25165738	1e-06	3.0	23.0	5.999979	1.336383	3.0	23.0	5.999979	1.336383	2.833346	2.0	4193265.0	1760268.485504	1119782.426606	0.0	0.999752	0.419681	0.266977	1e-06	1.5	0.058301	0.175182	3.003269	6291456.0	244532.995026	734766.391508	1.0	21.0	4.51879	1.237508	0.493732	0.480906	303.99901962280273
GL7d20	1437547	1911130	29893084	1.1e-05	0.0	395.0	20.794509	4.140267	0.0	43.0	15.641575	3.958324	17.995399	0.0	1911115.0	1028134.251448	365455.069464	0.0	0.999992	0.537972	0.191225	0.0	0.2	3.1e-05	0.000329	0.0	382226.0	58.341605	629.495017	0.0	394.0	20.793249	4.138145	0.000121	0.000141	347.5830078125
sx-stackoverflow	2601977	2601977	36233450	5e-06	0.0	38148.0	13.925354	137.849858	0.0	22258.0	13.925354	65.367052	2738.463634	0.0	2601968.0	624878.777412	804373.299137	0.0	0.999997	0.240155	0.309139	0.0	2.0	0.000148	0.009745	0.0	5203954.0	384.192332	25356.768054	0.0	36754.0	13.903825	136.711428	0.003092	0.11658	424.5846862792969
dgreen	1200611	1200611	38259877	2.7e-05	5.0	187.0	31.867005	11.448452	5.0	187.0	31.867005	11.448452	4.868138	5909.0	989317.0	660280.396294	186502.17778	0.004922	0.824011	0.549954	0.155339	1.3e-05	0.001088	5.1e-05	2e-05	15.55415	1306.713327	61.536054	24.156498	4.0	155.0	31.067602	11.646939	0.050171	0.167349	442.42951583862305
mawi_201512012345	18571154	18571154	38040320	0.0	1.0	16399896.0	2.048355	3805.811884	1.0	16399896.0	2.048355	3805.811884	8006372.085189	0.0	18571150.0	168021.210973	1352040.766645	0.0	1.0	0.009047	0.072803	0.0	2.0	0.002417	0.060404	0.0	37142308.0	44882.685714	1121763.988401	1.0	436928.0	1.143031	105.217355	0.883952	0.887449	506.18024826049805
dielFilterV2real	1157456	1157456	48538952	3.6e-05	6.0	110.0	41.935894	16.14859	6.0	110.0	41.935894	16.14859	1.623051	209451.0	948112.0	590886.35939	212352.317518	0.180958	0.819134	0.510504	0.183465	6e-06	0.000407	8.3e-05	4.9e-05	7.325485	471.629584	95.901573	57.07092	2.0	68.0	24.140289	8.277843	0.848705	0.549122	559.8995704650879
soc-LiveJournal1	4847571	4847571	68993773	3e-06	0.0	20293.0	14.232648	36.08028	0.0	13906.0	14.232648	43.462047	1424.80633	0.0	4847389.0	1682019.233365	1513577.239611	0.0	0.999962	0.346982	0.312234	0.0	2.0	0.009252	0.114623	0.0	9695142.0	44851.669667	555645.524697	0.0	17280.0	12.209679	30.656792	0.284272	0.28178	808.0630912780762
audikw_1	943695	943695	77651847	8.7e-05	21.0	345.0	82.284898	42.445255	21.0	345.0	82.284898	42.445255	3.19275	91103.0	928967.0	588063.659549	202902.448694	0.096539	0.984393	0.62315	0.215009	4.3e-05	0.000938	0.000158	9.6e-05	40.911534	885.639679	149.152078	90.818436	4.0	52.0	17.234463	6.255475	1.581103	0.819704	892.2547798156738
kmer_V2a	55042369	55042369	117217600	0.0	1.0	39.0	2.129589	0.673107	1.0	39.0	2.129589	0.673107	17.313397	0.0	54978602.0	18552763.070482	13373473.270427	0.0	0.998841	0.337063	0.242967	0.0	2.0	0.000178	0.018128	0.0	110084738.0	9822.317861	997796.357793	1.0	38.0	2.068549	0.432713	0.057325	0.116365	1551.4189529418945
